SLUG,SYMBOL,NAME
 catex-token,CATT, Catex Token
 rmpl,RMPL, RMPL
 jetcoin,JET, Jetcoin
 wabnetwork,WAB, WABnetwork
 rigoblock,GRG, RigoBlock
 daoventures,DVD, DAOventures
 2give,2GIVE, 2GIVE
 escroco-emerald,ESCE, Escroco Emerald
 gems-protocol,GEM, Gems 
 lepricon,L3P, Lepricon
 decentralized-crypto-token,DCTO, Decentralized Crypto Token
 power-index-pool-token,PIPT, Power Index Pool Token
 xsigma,SIG, xSigma
 gamerse,LFG, Gamerse
 mochi-market,MOMA, Mochi Market
 cosmo-coin,COSM, Cosmo Coin
 geodb,GEO, GeoDB
 ddkoin,DDK, DDKoin
 neural-protocol,NRP, Neural Protocol
 rage-fan,RAGE, Rage Fan
 gokumarket-credit,GMC, GokuMarket Credit
 pengolincoin,PGO, PengolinCoin
 doyourtip,DYT, DoYourTip
 rigel-protocol,RGP, Rigel Protocol
 equal,EQL, Equal
 blitzpredict,XBP, BlitzPick
 smartshare,SSP, Smartshare
 chronobase,TIK, ChronoBase
 shoefy,SHOE, ShoeFy
 ormeus-cash,OMC, Ormeus Cash
 iridium,IRD, Iridium
 vox-finance,VOX, Vox.Finance
 niobium-coin,NBC, Niobium Coin
 pkg-token,PKG, PKG Token
 energo,TSL, Energo
 masari,MSR, Masari
 trumpcoin,FREED, Freedomcoin
 pegnet,PEG, PegNet
 donut,DONUT, Donut
 typhoon-network,TYPH, Typhoon Network
 zebi-token,ZEBI, Zebi Token
 herofi,HEROEGG, HeroFi
 model-x-coin,MODX, MODEL-X-coin
 deutsche-emark,DEM, Deutsche eMark
 xiotri,XIOT, Xiotri
 seigniorage-shares,SHARE, Seigniorage Shares
 vipstar-coin,VIPS, Vipstar Coin
 yearn-secure,YSEC, Yearn Secure
 trinity-network-credit,TNC, Trinity Network Credit
 moontrust,MNTT, MoonTrust
 bigbom,BBO, Bigbom
 lition,LIT, Lition
 aquariuscoin,ARCO, AquariusCoin
 extradna,XDNA, extraDNA
 friends,FDZ, Friendz
 pesetacoin,PTD, Peseta Digital
 snodecoin,SND, SnodeCoin
 rentberry,BERRY, Rentberry
 playkey,PKT, Playkey
 owndata,OWN, OWNDATA
 enigma,ENG, Enigma
 fnb-protocol,FNB, FNB Protocol
 zcore,ZCR, ZCore
 tagcoin,TAG, TagCoin
 taklimakan-network,TAN, Taklimakan Network
 defi-degen-land,DDL, DeFi Degen Land
 swap,XWP, Swap
 the-corgi-of-polkabridge,CORGIB, The Corgi of PolkaBridge
 curio-governance,CGT, Curio Governance
 cobinhood,COB, Cobinhood
 maincoin,MNC, Maincoin
 afen-blockchain,AFEN, AFEN Blockchain
 alpha-token,A, Alpha Token
 nerva,XNV, Nerva
 arqma,ARQ, Arqma
 kalata,KALA, Kalata
 cryptojacks,CJ, Cryptojacks
 rubies,RBIES, Rubies
 phoenix-token,PHX, Phoenix Token
 hashcoin,HSC, HashCoin
 fuzex,FXT, FuzeX
 menapay,MPAY, MenaPay
 datamine,DAM, Datamine
 neurochain,NCC, NeuroChain
 skyrim-finance,SKYRIM, Skyrim Finance
 biblepay,BBP, BiblePay
 bunicorn,BUNI, Bunicorn
 rapidz,RPZX, Rapidz
 eos-trust,EOST, EOS TRUST
 zumcoin,ZUM, ZumCoin
 eternity,ENT, Eternity
 lucid-lands,LLG, Lucid Lands
 zoracles,ZORA, Zoracles
 sharder,SS, Sharder
 zuki-moba,ZUKI, Zuki Moba
 jade-currency,JADE, Jade Currency
 trezarcoin,TZC, TrezarCoin
 chi-gastoken,CHI, Chi Gastoken
 croat,CROAT, CROAT
 cryptotask,CTASK, CryptoTask
 mojocoin,MOJO, MojoCoin
 kurrent,KURT, Kurrent
 aidcoin,AID, AidCoin
 shield-protocol,SHIELD, Shield Protocol
 bitgear,GEAR, Bitgear
 team-vitality-fan-token,VIT, Team Vitality Fan Token
 zeusshield,ZSC, Zeusshield
 axe,AXE, Axe
 ether-zero,ETZ, Ether Zero
 sechain,SNN, SeChain
 devery,EVE, Devery
 dingo-token,DINGO, DINGO TOKEN
 netbox-coin,NBX, Netbox Coin
 cryptobonusmiles,CBM, CryptoBonusMiles
 decentrahub-coin,DCNTR, Decentrahub Coin
 yocoin,YOC, Yocoin
 piplcoin,PIPL, PiplCoin
 insight-protocol,INX, Insight Protocol
 bartertrade,BART, BarterTrade
 ritocoin,RITO, Ritocoin
 keytango,TANGO, keyTango
 sentinel-chain,SENC, Sentinel Chain
 unifarm,UFARM, UniFarm
 matryx,MTX, Matryx
 lympo-market-token,LMT, Lympo Market Token
 warp-finance,WARP, Warp Finance
 awsb,aWSB, aWSB
 ethergem,EGEM, EtherGem
 novara-calcio-fan-token,NOV, Novara Calcio Fan Token
 landbox,LAND, Landbox
 phoneum,PHT, Phoneum
 usdx-lighthouse,USDX, USDX [Lighthouse]
 dogeswap,DOGES, Dogeswap
 argoapp,ARGO, ArGo
 asch,XAS, Asch
 reflect-finance,RFI, reflect.finance
 insanecoin-insn,INSN, InsaneCoin
 digitalcoin,DGC, Digitalcoin
 srnartgallery,SACT, srnArt Gallery
 aigang,AIX, Aigang
 shield-xsh,XSH, SHIELD
 goose-finance,EGG, Goose Finance
 playermon,PYM, Playermon
 globaltoken,GLT, GlobalToken
 arata,ARATA, Arata
 cafeswap-token,BREW, CafeSwap Token
 method-finance,MTHD, Method Finance
 paybswap,PAYB, Paybswap
 pluracoin,PLURA, PluraCoin
 evil-coin,EVIL, Evil Coin
 smoothy,SMTY, Smoothy
 simp-token,SIMP, SIMP Token
 datarius-credit,DTRC, Datarius Credit
 yvs-finance,YVS, YVS.Finance
 ytsla-finance,yTSLA, yTSLA Finance
 solaris,XLR, Solaris
 kimchi-finance,KIMCHI, KIMCHI.finance
 poet,POE, Po.et
 cubiex,CBIX, Cubiex
 sparkpoint-fuel,SFUEL, SparkPoint Fuel
 megacoin,MEC, Megacoin
 lighthouse-token,LHT, LHT
 polkarare,PRARE, POLKARARE
 nsure-network,NSURE, Nsure.Network
 switch,ESH, Switch
 nftx-hashmasks-index,MASK, NFTX Hashmasks Index
 collateral-pay,COLL, Collateral Pay
 stronghands-masternode,SHMN, StrongHands Masternode
 rasko,RASKO, rASKO
 ailink-token,ALI, AiLink Token
 0xcert,ZXC, 0xcert
 non-fungible-yearn,NFY, Non-Fungible Yearn
 melalie,MEL, MELX
 sportcash-one,SCONEX, Sportcash One
 corionx,CORX, CorionX
 uplexa,UPX, uPlexa
 triall,TRL, Triall
 gourmet-galaxy,GUM, Gourmet Galaxy
 bitcoin-confidential,BC, Bitcoin Confidential
 bitblocks,BBK, Bitblocks
 scholarship-coin,SCHO, Scholarship Coin
 marsx,MX, MarsX
 levante-ud-fan-token,LEV, Levante U.D. Fan Token
 timechain-swap-token,TCS, Timechain Swap Token
 mmocoin,MMO, MMOCoin
 maecenas,ART, Maecenas
 beatzcoin,BTZC, BeatzCoin
 synergy,SNRG, Synergy
 bitguild-plat,PLAT, BitGuild PLAT
 wolf-safe-poor-people-polygon,WSPP, Wolf Safe Poor People (Polygon)
 uptoken,UP, UpToken
 gamyfi-platform,GFX, GamyFi Platform
 meridian-network,LOCK, Meridian Network
 atbcoin,ATB, ATBCoin
 micromoney,AMM, MicroMoney
 italian-lira,ITL, Italian Lira
 pancakebunny,BUNNY, Pancake Bunny
 yield-stake-finance,YI12, Yield Stake Finance
 auxilium,AUX, Auxilium
 islander,ISA, Islander
 roush-fenway-racing-fan-token,ROUSH, Roush Fenway Racing Fan Token
 london,LONDON, $LONDON
 winco,WCO, Winco
 neutron,NTRN, Neutron
 step-hero,HERO, Step Hero
 credit,CREDIT, CREDIT
 savix,SVX, Savix
 kush-finance,KSEED, Kush Finance
 everycoin,EVY, EveryCoin 
 midasprotocol,MAS, MidasProtocol
 big-digital-shares,BDS, Big Digital Shares
 fire-lotto,FLOT, Fire Lotto
 luna-rush,LUS, Luna Rush
 font,FONT, Font
 knoxfs-new,KFX, KnoxFS (New)
 multicoincasino,MCC, MultiCoinCasino
 moontools,MOONS, MoonTools
 fundamenta,FMTA, Fundamenta
 luxcoin,LUX, LUXCoin
 gentarium,GTM, Gentarium
 kawaii-islands,KWT, Kawaii Islands
 qrkita-token,QRT, Qrkita Token
 stronghands,SHND, StrongHands
 rate3,RTE, Rate3
 sociall,SCL, Sociall
 chonk,CHONK, Chonk
 road,ROAD, ROAD
 gonetwork,GOT, GoNetwork
 graft,GRFT, Graft
 celeum,CLX, Celeum
 knight-war,KWS, Knight War - The Holy Trio
 fortuna-sittard-fan-token,FOR, Fortuna Sittard Fan Token
 swiftcash,SWIFT, SwiftCash
 bidipass,BDP, BidiPass
 bonk,MBONK, megaBONK
 fireball,FIRE, Fireball
 nevacoin,NEVA, NevaCoin
 xion-finance,XGT, Xion Finance
 wolves-of-wall-street,WOWS, Wolves of Wall Street
 tendies,TEND, Tendies
 membrana,MBN, Membrana
 rimbit,RBT, Rimbit
 vikkytoken,VIKKY, VikkyToken
 collective,CO2, Collective
 samusky,SAMU, Samusky
 eroscoin,ERO, Eroscoin
 votecoin,VOT, VoteCoin
 cash-tech,CATE, Cash Tech
 allsafe,ASAFE, AllSafe
 2local,2LC, 2local
 unify,UNIFY, Unify
 litecoin-plus,LCP, Litecoin Plus
 steepcoin,STEEP, SteepCoin
 tokenbox,TBX, Tokenbox
 eventchain,EVC, EventChain
 crypto-kombat,KOMBAT, Crypto Kombat
 decentralized-machine-learning,DML, Decentralized Machine Learning
 privatix,PRIX, Privatix
 zeuxcoin,ZUC, ZeuxCoin
 yaxis,YAXIS, yAxis
 zero-utility-token,ZUT, Zero Utility Token
 beetle-coin,BEET, Beetlecoin
 ormeus-coin,ORMEUS, Ormeus Coin
 decent-bet,DBET, DecentBet
 bitwhite,BTW, BitWhite
 rupee,RUP, Rupee
 castweet,CTT, Castweet
 aditus,ADI, Aditus
 worldcore,WRC, Worldcore
 traxia,TM2, TRAXIA
 opal,OPAL, Opal
 boutspro,BOUTS, BoutsPro
 ormeus-ecosystem,ECO, Ormeus Ecosystem
 uptrennd,1UP, Uptrennd
 eunomia,ENTS, EUNOMIA
 yellow-road,ROAD, Yellow Road
 cheesecoin,CHEESE, Cheesecoin
 supercoin,SUPER, SuperCoin
 cova,COVA, COVA
 elysian,ELY, Elysian
 neoworld-cash,NASH, NeoWorld Cash
 infinity-esaham,INFS, Infinity Esaham
 agora,VOTE, Agora
 chronologic,DAY, Chronologic
 echolink,EKO, EchoLink
 vivid-coin,VIVID, Vivid Coin
 bbscoin,BBS, BBSCoin
 arbitragect,ARCT, ArbitrageCT
 horde,HOR, Horde
 mirrored-ishares-silver-trust,mSLV, Mirrored iShares Silver Trust
 civitas,CIV, Civitas
 dmscript,DMST, DMScript
 trustdao,TRUST, TrustDAO
 boosted-finance,BOOST, Boosted Finance
 aca-token,ACA, ACA Token
 adzcoin,ADZ, Adzcoin
 erc20,ERC20, ERC20
 spectre-utility,SXUT, Spectre.ai Utility Token
 heron-asia,HERON, Heron Asia
 igtoken,IG, IGToken
 sf-capital,SFCP, SF Capital
 postcoin,POST, PostCoin
 mybit,MYB, MyBit
 opus,OPT, Opus
 goldblocks,GB, GoldBlocks
 more-coin,MORE, More Coin
 transcodium,TNS, Transcodium
 skincoin,SKIN, SkinCoin
 proxynode,PRX, ProxyNode
 biotron,BTRN, Biotron
 bscview,BSCV, BSCView
 penta,PNT, Penta
 sora-validator-token,VAL, SORA Validator Token
 scrypta,LYRA, Scrypta
 bitsend,BSD, BitSend
 halodao,RNBW, HaloDAO
 chartex,CHART, ChartEx
 squirrel-finance,NUTS, Squirrel Finance
 unicly-chris-mccann-collection,UCM, Unicly Chris McCann Collection
 purevidz,VIDZ, PureVidz
 anoncoin,ANC, Anoncoin
 bitscreener-token,BITX, BitScreener Token
 tourist-token,TOTO, Tourist Token
 arionum,ARO, Arionum
 fantasygold,FGC, FantasyGold
 posex,PEX, PosEx
 ratecoin,XRA, Ratecoin
 energycoin,ENRG, Energycoin
 mirrored-united-states-oil-fund,mUSO, Mirrored United States Oil Fund
 bolivarcoin,BOLI, Bolivarcoin
 blocktix,TIX, Blocktix
 arepacoin,AREPA, Arepacoin
 truedeck,TDP, TrueDeck
 bintex-futures,BNTX, Bintex Futures
 fivebalance,FBN, Fivebalance
 novacoin,NVC, Novacoin
 universal-currency,UNIT, Universal Currency
 mirrored-tesla,mTSLA, Mirrored Tesla
 1millionnfts,1MIL, 1MillionNFTs
 bitcash,BITC, BitCash
 matrexcoin,MAC, Matrexcoin
 axis-defi,AXIS, Axis DeFi
 coinalpha,ALP, CoinAlpha
 xpa,XPA, XPA
 gcn-coin,GCN, GCN Coin
 onix,ONX, Onix
 icobid,ICOB, ICOBID
 global-currency-reserve,GCR, Global Currency Reserve
 digital-money-bits,DMB, Digital Money Bits
 open-governance-token,OPEN, Open Governance Token
 digitex,DGTX, Digitex
 rivetz,RVT, Rivetz
 depth-token,DEP, Depth Token
 rope,$ROPE, Rope
 kebab-token,KEBAB, Kebab Token
 cryptobuyer,XPT, Cryptobuyer
 nestegg-coin,EGG, NestEGG Coin
 blockburn,BURN, Blockburn
 guccionecoin,GCC, GuccioneCoin
 yenten,YTN, YENTEN
 theresa-may-coin,MAY, Theresa May Coin
 belacoin,BELA, Bela
 curio,CUR, Curio
 island-coin,ISLE, Island Coin
 wincash,WCC, WinCash
 knit-finance,KFT, Knit Finance
 showhand,HAND, ShowHand
 nasdacoin,NSD, Nasdacoin
 ignition,IC, Ignition
 swirge,SWG, Swirge
 bitcoin-21,XBTC21, Bitcoin 21
 paycoin2,XPY, PayCoin
 alphacat,ACAT, Alphacat
 mirrored-alibaba,mBABA, Mirrored Alibaba
 desire,DSR, Desire
 unicly-genesis-collection,UUNICLY, Unicly Genesis Collection
 block-logic,BLTG, Block-Logic
 weblock,WON, WeBlock
 startcoin,START, Startcoin
 mirrored-amazon,mAMZN, Mirrored Amazon
 starterra,STT, StarTerra
 fuzzballs,FUZZ, FuzzBalls
 bloc-money,BLOC, BLOC.MONEY
 hashnet-biteco,HNB, HashNet BitEco
 imagecoin,IMG, ImageCoin
 alphr-finance,ALPHR, Alphr finance
 ubu-finance,UBU, UBU Finance
 mirrored-apple,mAAPL, Mirrored Apple
 kun,KUN, KUN
 feellike,FLL, Feellike
 backpacker-coin,BPC, BackPacker Coin
 mirrored-invesco-qqq-trust,mQQQ, Mirrored Invesco QQQ Trust
 global-crypto-alliance,CALL, Global Crypto Alliance
 coin2-1,C2, Coin2.1
 dnotes,NOTE, DNotes
 zper,ZPR, ZPER
 centurion,CNT, Centurion
 tgame,TGAME, Truegame
 sparkspay,SPK, SparksPay
 rogue-west,ROGUE, Rogue Coin
 bitzeny,ZNY, Bitzeny
 gene-source-code-chain,GENE, Gene Source Code Chain
 bitcoin-classic,BXC, Bitcoin Classic
 twinci,TWIN, Twinci
 neuromorphic-io,NMP, Neuromorphic.io
 helix,HLIX, Helix
 eltcoin,ELTCOIN, ELTCOIN
 cybermusic,CYMT, CyberMusic
 berncash,BERN, BERNcash
 bitcoin-incognito,XBI, Bitcoin Incognito
 zeusnetwork,ZEUS, ZeusNetwork
 boat-pilot-token,NAVY, BoatPilot Token
 draftcoin,DFT, DraftCoin
 bitrewards,BIT, BitRewards
 netrum,NTR, Netrum
 castle,CSTL, Castle
 dreamcoin,DRM, Dreamcoin
 mdtoken,MDTK, MDtoken
 4new,KWATT, 4NEW
 xuez,XUEZ, Xuez
 zuflo-coin,ZFL, Zuflo Coin
 cryptrust,CTRT, Cryptrust
 showcase,SHO, Showcase
 all-best-ico,ALLBI, ALL BEST ICO
 lcms,LCMS, LCMS
 firstcoin,FRST, FirstCoin
 crypto-piece,BELLY, Crypto Piece
 genesisx,XGS, GenesisX
 mustangcoin,MST, MustangCoin
 arbidex,ABX, Arbidex
 startercoin,STAC, StarterCoin
 grimm,GRIMM, Grimm
 dejave,DJV, DEJAVE
 evencoin,EVN, EvenCoin
 araw,ARAW, ARAW
 plus-coin,NPLC, Plus-Coin
 italo,XTA, Italo
 datx,DATX, DATx
 fyooz,FYZ, Fyooz
 bitcoin-token,BTCT, Bitcoin Token
 tajcoin,TAJ, TajCoin
 shivers,SHVR, Shivers
 aidoc,AIDOC, AI Doctor
 unicorn-token,UNI, UNICORN Token
 kind-ads-token,KIND, Kind Ads Token
 bsclaunch,BSL, BSClaunch
 bishares,BISON, BiShares
 rewardiqa,REW, Rewardiqa
 safeinsure,SINS, SafeInsure
 ice-rock-mining,ROCK2, ICE ROCK MINING
 digiwage,WAGE, Digiwage
 mirrored-netflix,mNFLX, Mirrored Netflix
 paycent,PYN, PAYCENT
 donu,DONU, Donu
 amsterdamcoin,AMS, AmsterdamCoin
 bionic,BNC, Bionic
 arion,ARION, Arion
 investdigital,IDT, InvestDigital
 mirrored-microsoft,mMSFT, Mirrored Microsoft
 phantomx,PNX, Phantomx
 iqcash,IQ, IQ.cash
 blast,BLAST, BLAST
 fuze-token,FUZE, FUZE Token
 ethplode,ETHPLO, ETHplode
 gaj-finance,GAJ, Gaj Finance
 scriv-network,SCRIV, SCRIV NETWORK
 mchain,MAR, Mchain
 bitblocks-finance,BBKFI, BitBlocks Finance
 everitoken,EVT, EveriToken
 havy,HAVY, Havy
 fox-trading,FOXT, Fox Trading
 bowscoin,BSC, BowsCoin
 commercium,CMM, Commercium
 bitcoin-adult,BTAD, Bitcoin Adult
 hyper-finance,HYFI, Hyper Finance
 parkbyte,PKB, ParkByte
 aced,ACED, AceD (old)
 sparkle-loyalty,SPRKL, Sparkle Loyalty
 pyro-network,PYRO, PYRO Network
 javascript-token,JS, JavaScript Token
 yearn-finance-bit,YFBT, Yearn Finance Bit
 streamit-coin,STREAM, Streamit Coin
 modihost,AIM, ModiHost
 defis,XGM, Defis
 ccuniverse,UVU, CCUniverse
 quantis-network,QUAN, Quantis Network
 datacoin,DTC, Datacoin
 bitcloud,BTDX, Bitcloud
 mesefa,SEFA, Mesefa
 akroma,AKA, Akroma
 nyerium,NYEX, Nyerium
 zayedcoin,ZYD, Zayedcoin
 yolocash,YLC, YoloCash
 x-coin,XCO, X-Coin
 dollarcoin,DLC, Dollarcoin
 crevacoin,CREVA, CrevaCoin
 elementeum,ELET, Elementeum
 ccore,CCO, Ccore
 edrcoin,EDRC, EDRCoin
 thore-cash,TCH, Thore Cash
 californium,CF, Californium
 hyper-alloy,ALLOY, HyperAlloy
 bonpay,BON, Bonpay
 zealium,NZL, Zealium
 the-currency-analytics,TCAT, The Currency Analytics
 songcoin,SONG, SongCoin
 gossipcoin,GOSS, Gossip Coin
 kalkulus,KLKS, Kalkulus
 uchain,UCN, UChain
 innovative-bioresearch-coin,INNBC, Innovative Bioresearch Coin
 veltor,VLT, Veltor
 wxcoins,WXC, WXCOINS
 nft-alley,ALLEY, NFT Alley
 litecred,LTCR, Litecred
 klimatas,KTS, Klimatas
 mediccoin,MEDIC, MedicCoin
 skyhub-coin,SHB, SkyHub Coin
 acoin,ACOIN, Acoin
 ibtc,IBTC, iBTC
 halving-coin,HALV, Halving Token
 cream,CRM, Cream
 heartbout,HB, HeartBout
 ultragate,ULG, Ultragate
 mobile-crypto-pay-coin,MCPC, Mobile Crypto Pay Coin
 martkist,MARTK, Martkist
 gohelpfund,HELP, GoHelpFund
 bitcoal,COAL, BitCoal
 kwikswap,KWIK, Kwikswap Protocol
 quebecoin,QBC, Quebecoin
 knekted,KNT, Knekted
 travelnote,TVNT, TravelNote
 sbank,STS, SBank
 eurocoin,EUC, Eurocoin
 themis,GET, Themis
 bmultiplier,BMXX, Multiplier
 rofi,ROFI, HeroFi (ROFI)
 geysercoin,GSR, GeyserCoin
 thingschain,TIC, Thingschain
 pyrk,PYRK, Pyrk
 xovbank,XOV, XOVBank
 spreadcoin,SPR, SpreadCoin
 prime-xi,PXI, Prime-XI
 kemacoin,KEMA, Kemacoin
 dynamite,DYNMT, Dynamite
 independent-money-system,IMS, Independent Money System
